game_id,move_number,move_played,piece_type,best_move,cp_loss,move_category,fen_before,score_before,score_after
VS0oxdjw,16,Kxg7,King,Kxg7,-5,Good,rnbq1rk1/pp2ppBp/2p2np1/3p4/3PP3/2N2N2/PPPQ1PPP/R3KB1R b KQ - 0 8,120,115
VS0oxdjw,18,Ne4,Knight,Ne4,-7,Good,rnbq1r2/pp2ppkp/2p2np1/3pP3/3P4/2N2N2/PPPQ1PPP/R3KB1R b KQ - 0 9,118,111
VS0oxdjw,20,dxe4,Pawn,dxe4,-28,Good,rnbq1r2/pp2ppkp/2p3p1/3pP3/3PN3/5N2/PPPQ1PPP/R3KB1R b KQ - 0 10,119,91
VS0oxdjw,22,c5,Pawn,Bf5,49,Inaccuracy,rnbq1r2/pp2ppkp/2p3p1/4P1N1/3Pp3/8/PPPQ1PPP/R3KB1R b KQ - 1 11,66,115
VS0oxdjw,24,Bf5,Bishop,Bf5,6,Good,rnbq1r2/pp2ppkp/6p1/2pPP1N1/4p3/8/PPPQ1PPP/R3KB1R b KQ - 0 12,63,69
VS0oxdjw,26,fxe6,Pawn,fxe6,8,Good,rn1q1r2/pp2ppkp/4P1p1/2pP1bN1/4p3/8/PPPQ1PPP/R3KB1R b KQ - 0 13,88,96
VS0oxdjw,28,Bxg4,Bishop,Bxg4,-32,Good,rn1q1r2/pp2p1kp/4p1p1/2pP1bN1/4p1P1/8/PPPQ1P1P/R3KB1R b KQ - 0 14,117,85
VS0oxdjw,30,e3,Pawn,e3,-9,Good,rn1q1r2/pp2p1kp/4p1p1/2pP2N1/4p1b1/7B/PPPQ1P1P/R3K2R b KQ - 1 15,91,82
VS0oxdjw,32,Rf6,Rook,Rf6,0,Good,rn1q1r2/pp2p1kp/4p1p1/2pP2N1/6b1/2Q1p2B/PPP2P1P/R3K2R b KQ - 1 16,0,0
VS0oxdjw,34,exf2+,Pawn,exf2+,0,Good,rn1q4/pp2p1kp/4prp1/2pP2N1/6B1/2Q1p3/PPP2P1P/R3K2R b KQ - 0 17,0,0
VS0oxdjw,36,Qxd5,Queen,Qxd5,0,Good,rn1q4/pp2p1kp/4prp1/2pP2N1/6B1/2Q5/PPP2p1P/R4K1R b - - 1 18,0,0
VS0oxdjw,38,Qxg5,Queen,Qxg5,0,Good,rn6/pp2p1kp/4prp1/2pq2N1/8/2Q2B2/PPP2p1P/R4K1R b - - 1 19,0,0
VS0oxdjw,40,Nc6,Knight,Nc6,-9,Good,rn6/pB2p1kp/4prp1/2p3q1/8/2Q5/PPP2p1P/R4K1R b - - 0 20,-30,-39
VS0oxdjw,42,Nd4,Knight,Nd4,15,Good,B7/p3p1kp/2n1prp1/2p3q1/8/2Q5/PPP2p1P/R4K1R b - - 0 21,-17,-2
